Tanggal;Produk;Qty Laku;Keterangan
11/01/2024;Sand Kacang II Sari Roti;1;1
11/01/2024;Sand Keju II Sari Roti;1;1
11/01/2024;Tahu Mercon Bu Mud;48;1
11/01/2024;Zuper Coklat Sari Roti;2;1
11/01/2024;Zuper Moka Sari Roti;1;1
11/01/2024;Zuper Sweet Sari Roti;1;1
12/01/2024;Basreng Pak Eko;80;1
12/01/2024;Cikur Pak Eko;96;1
12/01/2024;Kerupuk Bos Pedas Pak Eko;80;1
12/01/2024;Kerupuk Kaca Pak Eko;170;1
12/01/2024;Kerupuk Seblak Pak Eko;100;1
12/01/2024;Mochi Bites Mbak Nasya12;16;1
12/01/2024;Pisang Coklat Bu Mud;10;1
12/01/2024;Risol Bu Poetoe;45;1
12/01/2024;Tahu Mercon Bu Mud;45;1
15/01/2024;Krim Ckt II Sari Roti;4;1
15/01/2024;Krim Coklat Vanilla II Sari Roti;2;1
15/01/2024;Krim Keju II Sari Roti;1;1
15/01/2024;Krim Mocca II Sari Roti;3;1
15/01/2024;Manisan Mangga Pak Edi;30;1
15/01/2024;Mochi Bites Mbak Nasya12;24;1
15/01/2024;Pisang Coklat Bu Mud;6;1
15/01/2024;Risol Bu Poetoe;50;1
15/01/2024;Sand Bluberry II Sari Roti;1;1
15/01/2024;Sand CKT II Sari Roti;12;1
15/01/2024;Sand Kacang II Sari Roti;1;1
15/01/2024;Sand Keju II Sari Roti;1;1
15/01/2024;Sand Mgr Klsk II Sari Roti;1;1
15/01/2024;Tahu Mercon Bu Mud;50;1
15/01/2024;Zuper Coklat Sari Roti;2;1
15/01/2024;Zuper Sweet Sari Roti;3;1
16/01/2024;Manisan Mangga Pak Edi;25;1
16/01/2024;Mochi Bites Mbak Nasya12;26;1
16/01/2024;Pisang Coklat Bu Mud;5;1
16/01/2024;Risol Bu Poetoe;50;1
16/01/2024;Tahu Mercon Bu Mud;39;1
17/01/2024;Arab Bu Indah;40;1
17/01/2024;Basreng Pak Eko;96;1
17/01/2024;Cikur Pak Eko;70;1
17/01/2024;Kacang Koro Besar Bu Indah;43;1
17/01/2024;Keripik Singkong Pedes Bu Indah;20;1
17/01/2024;Kerupuk Bos Pedas Pak Eko;40;1
17/01/2024;Kerupuk Kaca Pak Eko;64;1
17/01/2024;Kerupuk Usus Bu Indah;136;1
17/01/2024;Makaroni Besar Bu Indah;20;1
17/01/2024;Manisan Mangga Pak Edi;6;1
17/01/2024;Mochi Bites Mbak Nasya12;22;1
17/01/2024;Pang-pang Bu Indah;20;1
17/01/2024;Pisang Coklat Bu Mud;5;1
17/01/2024;Ring Bu Indah;62;1
17/01/2024;Risol Bu Poetoe;50;1
17/01/2024;Sakura Bu Indah;56;1
17/01/2024;Tahu Mercon Bu Mud;43;1
18/01/2024;Krim Ckt II Sari Roti;2;1
18/01/2024;Krim Coklat Vanilla II Sari Roti;2;1
18/01/2024;Krim Keju II Sari Roti;2;1
18/01/2024;Krim Mocca II Sari Roti;2;1
18/01/2024;Manisan Mangga Pak Edi;20;1
18/01/2024;Mochi Bites Mbak Nasya12;20;1
18/01/2024;Pisang Coklat Bu Mud;4;1
18/01/2024;Risol Bu Poetoe;50;1
18/01/2024;Sand Bluberry II Sari Roti;1;1
18/01/2024;Sand CKT II Sari Roti;10;1
18/01/2024;Sand Kacang II Sari Roti;1;1
18/01/2024;Sand Keju II Sari Roti;1;1
18/01/2024;Sand Mgr Klsk II Sari Roti;1;1
18/01/2024;Sand Srky Mdn II Sari Roti;1;1
18/01/2024;Tahu Mercon Bu Mud;45;1
18/01/2024;Zuper Coklat Sari Roti;5;1
18/01/2024;Zuper Sweet Sari Roti;2;1
19/01/2024;Basreng Pak Eko;190;1
19/01/2024;Cikur Pak Eko;79;1
19/01/2024;Kerupuk Kaca Pak Eko;160;1
19/01/2024;Mochi Bites Mbak Nasya12;15;1
19/01/2024;Risol Bu Poetoe;49;1
19/01/2024;Tahu Mercon Bu Mud;48;1
22/01/2024;Cikur Pak Eko;40;1
22/01/2024;Kerupuk Iteng Pak Eko;60;1
22/01/2024;Kerupuk Kaca Pak Eko;20;1
22/01/2024;Kerupuk Seblak Pak Eko;60;1
22/01/2024;Kerupuk Tongkol Pak Eko;40;1
22/01/2024;Krim Ckt II Sari Roti;2;1
22/01/2024;Krim Coklat Vanilla II Sari Roti;2;1
22/01/2024;Krim Keju II Sari Roti;2;1
22/01/2024;Krim Mocca II Sari Roti;2;1
22/01/2024;Manisan Mangga Pak Edi;16;1
22/01/2024;Martabak Bu Mud;5;1
22/01/2024;Mochi Bites Mbak Nasya12;11;1
22/01/2024;Pisang Coklat Bu Mud;5;1
22/01/2024;Risol Bu Poetoe;50;1
22/01/2024;Sand Bluberry II Sari Roti;1;1
22/01/2024;Sand CKT II Sari Roti;8;1
22/01/2024;Sand Kacang II Sari Roti;1;1
22/01/2024;Sand Keju II Sari Roti;1;1
22/01/2024;Sand Mgr Klsk II Sari Roti;1;1
22/01/2024;Sand Srky Mdn II Sari Roti;1;1
22/01/2024;Tahu Mercon Bu Mud;48;1
22/01/2024;Zuper Coklat Sari Roti;5;1
22/01/2024;Zuper Sweet Sari Roti;3;1
23/01/2024;Basreng Pak Eko;80;1
23/01/2024;Cikur Pak Eko;50;1
23/01/2024;Kerupuk Kaca Pak Eko;50;1
23/01/2024;Manisan Mangga Pak Edi;13;1
23/01/2024;Martabak Bu Mud;5;1
23/01/2024;Mochi Bites Mbak Nasya12;12;1
23/01/2024;Pisang Coklat Bu Mud;5;1
23/01/2024;Risol Bu Poetoe;49;1
23/01/2024;Roti Bakar Bu Yuni;6;1
23/01/2024;Tahu Mercon Bu Mud;46;1
24/01/2024;Basreng Pak Eko;70;1
24/01/2024;Kerupuk Iteng Pak Eko;80;1
24/01/2024;Kerupuk Kaca Pak Eko;55;1
24/01/2024;Kerupuk Tongkol Pak Eko;20;1
24/01/2024;Manisan Mangga Pak Edi;16;1
24/01/2024;Martabak Bu Mud;5;1
24/01/2024;Mochi Bites Mbak Nasya12;14;1
24/01/2024;Pisang Coklat Bu Mud;4;1
24/01/2024;Risol Bu Poetoe;40;1
24/01/2024;Roti Bakar Bu Yuni;7;1
24/01/2024;Tahu Mercon Bu Mud;34;1
25/01/2024;Krim Ckt II Sari Roti;2;1
25/01/2024;Krim Coklat Vanilla II Sari Roti;2;1
25/01/2024;Krim Keju II Sari Roti;2;1
25/01/2024;Krim Mocca II Sari Roti;2;1
25/01/2024;Sand Bluberry II Sari Roti;1;1
25/01/2024;Sand CKT II Sari Roti;8;1
25/01/2024;Sand Kacang II Sari Roti;1;1
25/01/2024;Sand Keju II Sari Roti;1;1
25/01/2024;Sand Mgr Klsk II Sari Roti;1;1
25/01/2024;Sand Srky Mdn II Sari Roti;1;1
25/01/2024;Zuper Coklat Sari Roti;7;1
25/01/2024;Zuper Sweet Sari Roti;5;1
26/01/2024;Basreng Pak Eko;50;1
26/01/2024;Kerupuk Kaca Pak Eko;50;1
26/01/2024;Kerupuk Seblak Pak Eko;10;1
26/01/2024;Kerupuk Tongkol Pak Eko;10;1
26/01/2024;Manisan Mangga Pak Edi;12;1
26/01/2024;Martabak Bu Mud;5;1
26/01/2024;Pisang Coklat Bu Mud;4;1
26/01/2024;Risol Bu Poetoe;21;1
26/01/2024;Tahu Mercon Bu Mud;29;1
26/01/2024;Tempura Bu Poetoe;12;1
29/01/2024;Kerupuk Iteng Pak Eko;50;1
29/01/2024;Kerupuk Kaca Pak Eko;40;1
29/01/2024;Krim Ckt II Sari Roti;3;1
29/01/2024;Krim Coklat Vanilla II Sari Roti;2;1
29/01/2024;Krim Keju II Sari Roti;3;1
29/01/2024;Krim Mocca II Sari Roti;3;1
29/01/2024;Manisan Mangga Pak Edi;24;1
29/01/2024;Mochi Bites Mbak Nasya12;22;1
29/01/2024;Risol Bu Poetoe;40;1
29/01/2024;Roti Bakar Bu Yuni;5;1
29/01/2024;Sand Bluberry II Sari Roti;1;1
29/01/2024;Sand CKT II Sari Roti;8;1
29/01/2024;Sand Kacang II Sari Roti;1;1
29/01/2024;Sand Keju II Sari Roti;1;1
29/01/2024;Sand Srky Mdn II Sari Roti;1;1
29/01/2024;Zuper Coklat Sari Roti;3;1
29/01/2024;Zuper Sweet Sari Roti;2;1
30/01/2024;Cikur Pak Eko;120;1
30/01/2024;Kerupuk Kaca Pak Eko;60;1
30/01/2024;Kerupuk Seblak Pak Eko;30;1
30/01/2024;Kerupuk Tongkol Pak Eko;20;1
30/01/2024;Manisan Mangga Pak Edi;15;1
30/01/2024;Mochi Bites Mbak Nasya12;14;1
30/01/2024;Pisang Coklat Bu Mud;8;1
30/01/2024;Risol Bu Poetoe;45;1
30/01/2024;Roti Bakar Bu Yuni;6;1
30/01/2024;Tahu Mercon Bu Mud;40;1
31/01/2024;Basreng Pak Eko;54;1
31/01/2024;Cikur Pak Eko;10;1
31/01/2024;Kerupuk Iteng Pak Eko;50;1
31/01/2024;Kerupuk Kaca Pak Eko;50;1
31/01/2024;Manisan Mangga Pak Edi;8;1
31/01/2024;Martabak Bu Mud;5;1
31/01/2024;Mochi Bites Mbak Nasya12;15;1
31/01/2024;Pisang Coklat Bu Mud;5;1
31/01/2024;Risol Bu Poetoe;39;1
31/01/2024;Roti Bakar Bu Yuni;10;1
31/01/2024;Tahu Mercon Bu Mud;45;1
01/02/2024;Basreng Pak Eko;50;1
01/02/2024;Kerupuk Iteng Pak Eko;60;1
01/02/2024;Kerupuk Kaca Pak Eko;50;1
01/02/2024;Krim Ckt II Sari Roti;2;1
01/02/2024;Krim Coklat Vanilla II Sari Roti;2;1
01/02/2024;Krim Keju II Sari Roti;2;1
01/02/2024;Krim Mocca II Sari Roti;2;1
01/02/2024;Martabak Bu Mud;5;1
01/02/2024;Mochi Bites Mbak Nasya12;9;1
01/02/2024;Pisang Coklat Bu Mud;8;1
01/02/2024;Risol Bu Poetoe;35;1
01/02/2024;Roti Bakar Bu Yuni;4;1
01/02/2024;Sand Bluberry II Sari Roti;1;1
01/02/2024;Sand CKT II Sari Roti;12;1
01/02/2024;Sand Kacang II Sari Roti;1;1
01/02/2024;Sand Keju II Sari Roti;1;1
01/02/2024;Sand Mgr Klsk II Sari Roti;1;1
01/02/2024;Sand Srky Mdn II Sari Roti;2;1
01/02/2024;Tahu Mercon Bu Mud;46;1
01/02/2024;Zuper Coklat Sari Roti;6;1
01/02/2024;Zuper Sweet Sari Roti;4;1
02/02/2024;Arab Bu Indah;20;1
02/02/2024;Basreng Pak Eko;50;1
02/02/2024;Kerupuk Iteng Pak Eko;70;1
02/02/2024;Kerupuk Kaca Pak Eko;39;1
02/02/2024;Kerupuk Seblak Pak Eko;30;1
02/02/2024;Kerupuk Tongkol Pak Eko;19;1
02/02/2024;Kerupuk Usus Bu Indah;120;1
02/02/2024;Makaroni Besar Bu Indah;97;1
02/02/2024;Manisan Mangga Pak Edi;11;1
02/02/2024;Martabak Bu Mud;7;1
02/02/2024;Mochi Bites Mbak Nasya12;11;1
02/02/2024;Opak Pedas Bu Indah;30;1
02/02/2024;Pang-pang Bu Indah;20;1
02/02/2024;Pisang Coklat Bu Mud;5;1
02/02/2024;Ring Bu Indah;75;1
02/02/2024;Risol Bu Poetoe;36;1
02/02/2024;Roti Bakar Bu Yuni;4;1
02/02/2024;Sakura Bu Indah;20;1
02/02/2024;Spiral Bu Indah;85;1
02/02/2024;Tahu Mercon Bu Mud;40;1
05/02/2024;Kerupuk Iteng Pak Eko;80;0
05/02/2024;Krim Ckt II Sari Roti;4;0
05/02/2024;Krim Coklat Vanilla II Sari Roti;2;0
05/02/2024;Krim Keju II Sari Roti;2;0
05/02/2024;Krim Mocca II Sari Roti;2;0
05/02/2024;Manisan Mangga Pak Edi;10;0
05/02/2024;Mochi Bites Mbak Nasya12;15;0
05/02/2024;Pisang Coklat Bu Mud;8;0
05/02/2024;Roti Bakar Bu Yuni;10;0
05/02/2024;Sand CKT II Sari Roti;12;0
05/02/2024;Sand Kacang II Sari Roti;2;0
05/02/2024;Sand Srky Mdn II Sari Roti;2;0
05/02/2024;Sand Toast Coklat Sari Roti;2;0
05/02/2024;Tahu Mercon Bu Mud;45;0
05/02/2024;Zuper Coklat Sari Roti;7;0
05/02/2024;Zuper Sweet Sari Roti;3;0
06/02/2024;Basreng Pak Eko;70;0
06/02/2024;Kerupuk Iteng Pak Eko;50;0
06/02/2024;Kerupuk Kaca Pak Eko;80;0
06/02/2024;Kerupuk Seblak Pak Eko;20;0
06/02/2024;Kerupuk Tongkol Pak Eko;15;0
06/02/2024;Mochi Bites Mbak Nasya12;19;0
06/02/2024;Pisang Coklat Bu Mud;9;0
06/02/2024;Roti Bakar Bu Yuni;10;0
06/02/2024;Tahu Mercon Bu Mud;48;0
07/02/2024;Cikur Pak Eko;50;0
07/02/2024;Kerupuk Kaca Pak Eko;60;0
07/02/2024;Manisan Mangga Pak Edi;8;0
07/02/2024;Mochi Bites Mbak Nasya12;21;0
07/02/2024;Pisang Coklat Bu Mud;9;0
07/02/2024;Roti Bakar Bu Yuni;9;0
07/02/2024;Tahu Mercon Bu Mud;44;0
12/02/2024;Dryk Choco Kcng Sari Roti;1;0
12/02/2024;Kerupuk Iteng Pak Eko;50;0
12/02/2024;Kerupuk Kaca Pak Eko;40;0
12/02/2024;Krim Ckt II Sari Roti;3;0
12/02/2024;Krim Coklat Vanilla II Sari Roti;3;0
12/02/2024;Krim Keju II Sari Roti;3;0
12/02/2024;Krim Mocca II Sari Roti;3;0
12/02/2024;Martabak Bu Mud;5;0
12/02/2024;Mochi Bites Mbak Nasya12;19;0
12/02/2024;Pisang Coklat Bu Mud;9;0
12/02/2024;Roti Bakar Bu Yuni;6;0
12/02/2024;Sand Bluberry II Sari Roti;1;0
12/02/2024;Sand CKT II Sari Roti;5;0
12/02/2024;Sand Kacang II Sari Roti;1;0
12/02/2024;Sand Keju II Sari Roti;1;0
12/02/2024;Sand Mgr Klsk II Sari Roti;1;0
12/02/2024;Sand Srky Mdn II Sari Roti;1;0
12/02/2024;Tahu Mercon Bu Mud;54;0
12/02/2024;Zuper Coklat Sari Roti;5;0
12/02/2024;Zuper Moka Sari Roti;5;0
12/02/2024;Zuper Sweet Sari Roti;3;0
13/02/2024;Kerupuk Iteng Pak Eko;80;0
13/02/2024;Kerupuk Kaca Pak Eko;50;0
13/02/2024;Kerupuk Seblak Pak Eko;30;0
13/02/2024;Martabak Bu Mud;5;0
13/02/2024;Mochi Bites Mbak Nasya12;17;0
13/02/2024;Pisang Coklat Bu Mud;6;0
13/02/2024;Roti Bakar Bu Yuni;10;0
13/02/2024;Tahu Mercon Bu Mud;54;0
15/02/2024;Krim Ckt II Sari Roti;3;0
15/02/2024;Krim Coklat Vanilla II Sari Roti;3;0
15/02/2024;Krim Mocca II Sari Roti;3;0
15/02/2024;Sand Bluberry II Sari Roti;1;0
15/02/2024;Sand CKT II Sari Roti;5;0
15/02/2024;Sand Kacang II Sari Roti;1;0
15/02/2024;Sand Keju II Sari Roti;1;0
15/02/2024;Sand Mgr Klsk II Sari Roti;1;0
15/02/2024;Sand Srky Mdn II Sari Roti;1;0
15/02/2024;Zuper Coklat Sari Roti;4;0
15/02/2024;Zuper Moka Sari Roti;4;0
15/02/2024;Zuper Sweet Sari Roti;2;0
16/02/2024;Martabak Bu Mud;5;0
16/02/2024;Pisang Coklat Bu Mud;8;0
16/02/2024;Tahu Mercon Bu Mud;34;0
19/02/2024;Basreng Pak Eko;50;1
19/02/2024;Kerupuk Iteng Pak Eko;40;1
19/02/2024;Kerupuk Kaca Pak Eko;70;1
19/02/2024;Krim Ckt II Sari Roti;2;1
19/02/2024;Krim Coklat Vanilla II Sari Roti;2;1
19/02/2024;Krim Keju II Sari Roti;1;1
19/02/2024;Krim Mocca II Sari Roti;2;1
19/02/2024;Martabak Bu Mud;10;1
19/02/2024;Mochi Bites Mbak Nasya12;13;1
19/02/2024;Pisang Coklat Bu Mud;5;1
19/02/2024;Sand Bluberry II Sari Roti;1;1
19/02/2024;Sand CKT II Sari Roti;6;1
19/02/2024;Sand Keju II Sari Roti;1;1
19/02/2024;Tahu Mercon Bu Mud;48;1
19/02/2024;Zuper Coklat Sari Roti;5;1
19/02/2024;Zuper Moka Sari Roti;1;1
20/02/2024;Basreng Pak Eko;50;1
20/02/2024;Cikur Pak Eko;20;1
20/02/2024;Kerupuk Iteng Pak Eko;60;1
20/02/2024;Kerupuk Kaca Pak Eko;60;1
20/02/2024;Kerupuk Seblak Pak Eko;20;1
20/02/2024;Martabak Bu Mud;8;1
20/02/2024;Mochi Bites Mbak Nasya12;17;1
20/02/2024;Pisang Coklat Bu Mud;10;1
20/02/2024;Roti Bakar Bu Yuni;8;1
20/02/2024;Tahu Mercon Bu Mud;45;1
21/02/2024;Kerupuk Iteng Pak Eko;60;1
21/02/2024;Kerupuk Kaca Pak Eko;60;1
21/02/2024;Mochi Bites Mbak Nasya12;22;1
21/02/2024;Pisang Coklat Bu Mud;6;1
21/02/2024;Tahu Mercon Bu Mud;52;1
22/02/2024;Kerupuk Iteng Pak Eko;80;1
22/02/2024;Kerupuk Kaca Pak Eko;60;1
22/02/2024;Krim Ckt II Sari Roti;2;1
22/02/2024;Krim Coklat Vanilla II Sari Roti;2;1
22/02/2024;Krim Keju II Sari Roti;1;1
22/02/2024;Krim Mocca II Sari Roti;2;1
22/02/2024;Mochi Bites Mbak Nasya12;12;1
22/02/2024;Pisang Coklat Bu Mud;3;1
22/02/2024;Roti Bakar Bu Yuni;10;1
22/02/2024;Sand Bluberry II Sari Roti;1;1
22/02/2024;Sand CKT II Sari Roti;10;1
22/02/2024;Sand Kacang II Sari Roti;1;1
22/02/2024;Sand Keju II Sari Roti;1;1
22/02/2024;Sand Mgr Klsk II Sari Roti;1;1
22/02/2024;Tahu Mercon Bu Mud;50;1
22/02/2024;Zuper Coklat Sari Roti;5;1
22/02/2024;Zuper Moka Sari Roti;3;1
22/02/2024;Zuper Sweet Sari Roti;2;1
23/02/2024;Kentang Goreng Ori Bu Poetoe;4;1
23/02/2024;Kerupuk Iteng Pak Eko;30;1
23/02/2024;Kerupuk Kaca Pak Eko;50;1
23/02/2024;Manisan Mangga Pak Edi;6;1
23/02/2024;Mochi Bites Mbak Nasya12;4;1
23/02/2024;Pisang Coklat Bu Mud;5;1
23/02/2024;Risol Bu Poetoe;31;1
23/02/2024;Roti Bakar Bu Yuni;6;1
23/02/2024;Tahu Mercon Bu Mud;39;1
23/02/2024;Tempura Bu Poetoe;11;1
26/02/2024;Krim Ckt II Sari Roti;2;1
26/02/2024;Krim Coklat Vanilla II Sari Roti;2;1
26/02/2024;Krim Keju II Sari Roti;2;1
26/02/2024;Krim Mocca II Sari Roti;2;1
26/02/2024;Mochi Bites Mbak Nasya12;9;1
26/02/2024;Risol Bu Poetoe;29;1
26/02/2024;Roti Bakar Bu Yuni;8;1
26/02/2024;Sand Bluberry II Sari Roti;1;1
26/02/2024;Sand CKT II Sari Roti;10;1
26/02/2024;Sand Kacang II Sari Roti;1;1
26/02/2024;Sand Keju II Sari Roti;1;1
26/02/2024;Sand Mgr Klsk II Sari Roti;1;1
26/02/2024;Sand Srky Mdn II Sari Roti;1;1
26/02/2024;Tempura Bu Poetoe;10;1
26/02/2024;Zuper Coklat Sari Roti;3;1
26/02/2024;Zuper Moka Sari Roti;2;1
26/02/2024;Zuper Sweet Sari Roti;2;1
27/02/2024;Basreng Pak Eko;80;1
27/02/2024;Kerupuk Iteng Pak Eko;40;1
27/02/2024;Kerupuk Kaca Pak Eko;50;1
27/02/2024;Pisang Coklat Bu Mud;4;1
27/02/2024;Risol Bu Poetoe;30;1
27/02/2024;Roti Bakar Bu Yuni;12;1
27/02/2024;Tahu Mercon Bu Mud;47;1
27/02/2024;Tempura Bu Poetoe;9;1
28/02/2024;Cikur Pak Eko;10;1
28/02/2024;Kerupuk Iteng Pak Eko;50;1
28/02/2024;Martabak Bu Mud;5;1
28/02/2024;Pisang Coklat Bu Mud;4;1
28/02/2024;Risol Bu Poetoe;25;1
28/02/2024;Roti Bakar Bu Yuni;11;1
28/02/2024;Tahu Mercon Bu Mud;36;1
28/02/2024;Tempura Bu Poetoe;8;1
29/02/2024;Basreng Pak Eko;35;1
29/02/2024;Kentang Goreng Ori Bu Poetoe;5;1
29/02/2024;Kerupuk Iteng Pak Eko;35;1
29/02/2024;Kerupuk Kaca Pak Eko;70;1
29/02/2024;Krim Ckt II Sari Roti;2;1
29/02/2024;Krim Coklat Vanilla II Sari Roti;2;1
29/02/2024;Krim Keju II Sari Roti;2;1
29/02/2024;Krim Mocca II Sari Roti;2;1
29/02/2024;Martabak Bu Mud;4;1
29/02/2024;Mochi Bites Mbak Nasya12;4;1
29/02/2024;Pisang Coklat Bu Mud;4;1
29/02/2024;Risol Bu Poetoe;21;1
29/02/2024;Roti Bakar Bu Yuni;2;1
29/02/2024;Sand Bluberry II Sari Roti;1;1
29/02/2024;Sand CKT II Sari Roti;13;1
29/02/2024;Sand Kacang II Sari Roti;1;1
29/02/2024;Sand Keju II Sari Roti;2;1
29/02/2024;Sand Mgr Klsk II Sari Roti;1;1
29/02/2024;Sand Srky Mdn II Sari Roti;1;1
29/02/2024;Tahu Mercon Bu Mud;30;1
29/02/2024;Tempura Bu Poetoe;8;1
29/02/2024;Zuper Coklat Sari Roti;3;1
29/02/2024;Zuper Moka Sari Roti;2;1
29/02/2024;Zuper Sweet Sari Roti;1;1
01/03/2024;Kentang Goreng Ori Bu Poetoe;9;0
01/03/2024;Risol Bu Poetoe;22;0
01/03/2024;Roti Bakar Bu Yuni;4;0
04/03/2024;Kentang Goreng Ori Bu Poetoe;3;1
04/03/2024;Krim Ckt II Sari Roti;2;1
04/03/2024;Krim Coklat Vanilla II Sari Roti;2;1
04/03/2024;Krim Keju II Sari Roti;1;1
04/03/2024;Krim Mocca II Sari Roti;2;1
04/03/2024;Martabak Bu Mud;1;1
04/03/2024;Mochi Bites Mbak Nasya12;6;1
04/03/2024;Pisang Coklat Bu Mud;3;1
04/03/2024;Risol Bu Poetoe;13;1
04/03/2024;Roti Bakar Bu Yuni;8;1
04/03/2024;Sand Bluberry II Sari Roti;1;1
04/03/2024;Sand CKT II Sari Roti;8;1
04/03/2024;Sand Keju II Sari Roti;2;1
04/03/2024;Sand Mgr Klsk II Sari Roti;1;1
04/03/2024;Sand Srky Mdn II Sari Roti;2;1
04/03/2024;Tahu Mercon Bu Mud;28;1
04/03/2024;Tempura Bu Poetoe;8;1
04/03/2024;Zuper Coklat Sari Roti;4;1
04/03/2024;Zuper Moka Sari Roti;2;1
04/03/2024;Zuper Sweet Sari Roti;2;1
05/03/2024;Basreng Pak Eko;60;1
05/03/2024;Kentang Goreng Ori Bu Poetoe;4;1
05/03/2024;Kerupuk Iteng Pak Eko;10;1
05/03/2024;Kerupuk Kaca Pak Eko;70;1
05/03/2024;Kerupuk Usus Bu Indah;130;1
05/03/2024;Makaroni Besar Bu Indah;102;1
05/03/2024;Mochi Bites Mbak Nasya12;6;1
05/03/2024;Opak Pedas Bu Indah;30;1
05/03/2024;Ring Bu Indah;65;1
05/03/2024;Risol Bu Poetoe;14;1
05/03/2024;Roti Bakar Bu Yuni;9;1
05/03/2024;Sakura Bu Indah;30;1
05/03/2024;Spiral Bu Indah;110;1
05/03/2024;Tempura Bu Poetoe;10;1
06/03/2024;Kentang Goreng Ori Bu Poetoe;4;1
06/03/2024;Kerupuk Usus Bu Indah;126;1
06/03/2024;Makaroni Besar Bu Indah;71;1
06/03/2024;Pang-pang Bu Indah;11;1
06/03/2024;Ring Bu Indah;60;1
06/03/2024;Risol Bu Poetoe;24;1
06/03/2024;Roti Bakar Bu Yuni;5;1
06/03/2024;Spiral Bu Indah;81;1
06/03/2024;Tempura Bu Poetoe;10;1
07/03/2024;Kacang Koro Besar Bu Indah;45;1
07/03/2024;Kentang Goreng Ori Bu Poetoe;3;1
07/03/2024;Kerupuk Iteng Pak Eko;65;1
07/03/2024;Kerupuk Kaca Pak Eko;60;1
07/03/2024;Kerupuk Opak Pedas Besar Bu Indah;11;1
07/03/2024;Kerupuk Seblak Pak Eko;40;1
07/03/2024;Kerupuk Usus Bu Indah;20;1
07/03/2024;Krim Ckt II Sari Roti;2;1
07/03/2024;Krim Coklat Vanilla II Sari Roti;2;1
07/03/2024;Krim Keju II Sari Roti;2;1
07/03/2024;Krupuk Pisang Besar Bu Indah;6;1
07/03/2024;Mochi Bites Mbak Nasya12;5;1
